COD_ESCOLA;SITUACAO_FUNCIONAMENTO;TIPO_LOCALIZACAO;TIPO_REDE;ENDERECO_BAIRRO;MUNICIPIO;ESTADO;CEP;LATITUDE;LONGITUDE;QT_SALAS_EXISTENTES;QT_SALAS_UTILIZADAS;QT_MAT_INF;QT_MAT_FUND_AI;QT_MAT_FUND_AF;QT_MAT_MED;QT_MAT_EJA;QT_MAT_PROF;QT_MAT_ESP;QT_DOC_INF;QT_DOC_FUND_AI;QT_DOC_FUND_AF;QT_DOC_MED;QT_DOC_EJA;QT_DOC_PROF;QT_TUR_INF;QT_TUR_FUND_AI;QT_TUR_FUND_AF;QT_TUR_MED;QT_TUR_EJA;QT_TUR_PROF
41125720;Em Atividade;Urbana;Municipal;CAMPO PEQUENO;Colombo;PR;83404010;-25.367327;-49.200985;null;6;85;0;0;0;0;0;0;11;0;0;0;0;0;6;0;0;0;0;0
41154720;Em Atividade;Urbana;Municipal;JD CENTRAL;Colombo;PR;83409650;-25.382467;-49.180977;null;8;181;0;0;0;0;0;2;16;0;0;0;0;0;10;0;0;0;0;0
41369769;Em Atividade;Urbana;Municipal;VL GILCY;Campo Largo;PR;83609110;-25.455196;-49.392822;null;8;147;0;0;0;0;0;1;9;0;0;0;0;0;8;0;0;0;0;0
41358295;Em Atividade;Urbana;Municipal;GUARAITUBA;Colombo;PR;83410110;-25.3556;-49.16547;null;10;253;0;0;0;0;0;1;16;0;0;0;0;0;12;0;0;0;0;0
41151860;Em Atividade;Urbana;Privada;null;Colombo;PR;83404000;-25.361158;-49.20908;null;6;0;103;0;0;0;0;0;0;7;0;0;0;0;0;5;0;0;0;0
41125320;Em Atividade;Urbana;Municipal;JD ESMERALDA;Campo Largo;PR;83604090;-25.467886;-49.563152;null;11;133;426;0;0;0;0;16;5;18;0;0;0;0;6;16;0;0;0;0
41163427;Em Atividade;Urbana;Municipal;JARDIM EUCALIPTO;Colombo;PR;83413372;null;null;null;5;98;0;0;0;0;0;0;9;0;0;0;0;0;5;0;0;0;0;0
41125568;Em Atividade;Urbana;Estadual;VILA FERRARI;Campo Largo;PR;83606330;-25.440664;-49.524017;null;6;0;0;264;94;0;0;14;0;0;21;16;0;0;0;0;9;3;0;0
41147375;Em Atividade;Urbana;Federal;VILA SOLENE;Campo Largo;PR;83607140;null;null;null;17;0;0;0;337;81;551;17;0;0;0;44;16;50;0;0;0;10;3;17
41125088;Em Atividade;Urbana;Privada;CENTRO;Campo Largo;PR;83601140;-25.45637;-49.528473;null;12;8;23;0;0;120;0;151;6;10;0;0;18;0;2;8;0;0;16;0
41146727;Em Atividade;Urbana;Municipal;JD GUARUJA;Colombo;PR;83407290;-25.340595;-49.180714;null;12;40;304;0;0;0;0;13;5;24;0;0;0;0;2;15;0;0;0;0
41163443;Em Atividade;Urbana;Municipal;PARQUE DOS LAGOS;Colombo;PR;83413393;null;null;null;10;239;0;0;0;0;0;3;14;0;0;0;0;0;12;0;0;0;0;0
41125843;Em Atividade;Urbana;Municipal;CAMPO PEQUENO;Colombo;PR;83403300;-25.356066;-49.20835;null;9;53;262;0;0;0;0;9;3;14;0;0;0;0;3;13;0;0;0;0
41380398;Em Atividade;Urbana;Privada;VILA OPERARIA;Campo Largo;PR;83601090;-25.461407;-49.51662;null;16;49;75;0;0;0;0;2;6;12;0;0;0;0;4;5;0;0;0;0
41125681;Em Atividade;Urbana;Municipal;JD DAS OLIVEIRAS;Colombo;PR;83407800;-25.349283;-49.199875;null;16;99;596;0;0;0;0;35;7;29;0;0;0;0;4;25;0;0;0;0
41361687;Em Atividade;Rural;Estadual;DIST TRES CORREGOS;Campo Largo;PR;83642970;-25.221073;-49.63133;null;22;0;0;138;84;0;0;14;0;0;15;14;0;0;0;0;8;4;0;0
41152824;Em Atividade;Urbana;Municipal;null;Colombo;PR;83405060;-25.364294;-49.191444;null;13;209;0;0;0;0;0;0;16;0;0;0;0;0;11;0;0;0;0;0
41160401;Em Atividade;Urbana;Privada;SAO GABRIEL;Colombo;PR;83407106;-25.33919;-49.187862;null;5;18;0;0;0;0;0;0;5;0;0;0;0;0;8;0;0;0;0;0
41164547;Em Atividade;Urbana;Privada;CAMPO PEQUENO;Colombo;PR;83404700;null;null;null;5;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
41369920;Em Atividade;Urbana;Municipal;JD RONDINHA;Campo Largo;PR;83607310;-25.448704;-49.482113;null;6;109;0;0;0;0;0;1;7;0;0;0;0;0;5;0;0;0;0;0
41143582;Em Atividade;Urbana;Estadual;AGUAS CLARAS;Campo Largo;PR;83602210;-25.476313;-49.55017;null;18;0;0;310;186;0;0;11;0;0;25;17;0;0;0;0;12;7;0;0
41163117;Em Atividade;Urbana;Privada;ROCA GRANDE;Colombo;PR;83402000;-25.349049;-49.22184;null;18;20;166;157;73;0;0;0;3;11;15;22;0;0;2;8;5;3;0;0
41126084;Paralisada;Urbana;Privada;CENTRO;Colombo;PR;83414020;-25.293097;-49.23161;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
41126483;Em Atividade;Urbana;Municipal;VL CORDEIRO;Colombo;PR;83411030;-25.348536;-49.164173;null;8;47;325;0;0;0;0;6;4;17;0;0;0;0;2;14;0;0;0;0
